Date,Activity Name,Category,Location,Phone Number,Website,Description,Best Season
2026-04-10,Alabama Hills Rock Scramble,Rock Climbing,"Alabama Hills, Lone Pine, CA",(760) 876-5522,lonepinechamber.org,"Iconic rounded rock formations for scrambling, boulder problems, and photography",Year-round
2026-04-11,Mount Whitney Approach Hike,Hiking,"Whitney Portal Trailhead (Lone Pine)",(760) 873-7400,fs.usda.gov/inyo,"Scenic approach to Mount Whitney — permits required for summit",Summer
2026-04-12,Movie Road Scenic Drive,Scenic Drive,"Movie Road and Alabama Hills Scenic Backdrop",(760) 876-5522,lonepinechamber.org,"Historic filming locations with dramatic views of the Sierras",Year-round
2026-04-13,Convict Lake Fishing,Fishing,"Convict Lake (nearby)",(760) 872-4554,convictlake.com,"Trout fishing with boat rentals and lakeside trails",Spring-Summer
2026-04-14,Lone Pine Film History Museum,Family Activities,"Lone Pine Film History Museum, Main St, Lone Pine",(760) 876-7017,lonepinechamber.org,"Museum showcasing decades of Western film history and movie props",Year-round
2026-04-15,Scenic Photography at Mobius Arch,Photography,"Mobius Arch Trail, Alabama Hills",(760) 876-5522,lonepinechamber.org,"Short walk to a natural arch framing Mt. Whitney — sunrise/sunset favorite",Year-round
2026-04-16,Stargazing at Alabama Hills,Stargazing,"Alabama Hills overnight spots, Lone Pine",(760) 876-5522,lonepinechamber.org,"Dark-sky area ideal for astrophotography and night-sky viewing",Year-round
2026-04-17,Manzanar Historic Site Visit,History & Culture,"Manzanar National Historic Site, 5001 Hwy 395 N",(760) 878-2194,nps.gov/manzanar,"Outdoor exhibits and walking trails interpreting wartime history",Year-round
2026-04-18,Kayak/SUP on Owens River,Water Sports,"Owens River launch areas (seasonal)",(760) 873-8011,owensriver.org,"Calm stretches suitable for kayaks and SUP when flows allow",Spring-Summer
2026-04-19,High Sierra Backpacking,Backpacking,"Various trailheads from Lone Pine (permits required)",(760) 873-7400,fs.usda.gov/inyo,"Multi-day backpacking in the John Muir Wilderness and Sierra crest",Summer-Fall
2026-04-20,Off-road 4x4 Alabama Hills,Off-Roading,"Designated 4x4 routes in Alabama Hills",(760) 876-5522,lonepinechamber.org,"Guided and self-driven off-road loops with scenic stops",Year-round
2026-04-21,Bird Watching at Owens Lake,Bird Watching,"Owens Lake birding areas (seasonal)",(760) 872-3612,owenslake.org,"Important stopover for migrating shorebirds and waterbirds",Spring-Fall
