Date,Activity Name,Category,Location,Phone Number,Website,Description,Best Season,,
1/10/2026,Lake Tahoe Skiing,Winter Sports,Multiple Resorts around Lake Tahoe,+1 (775) 832-1177,www.visitrenotahoe.com,"Ski at world-class resorts like Palisades Tahoe, Northstar, and Mt. Rose",Winter,,
1/10/2026,Snowshoeing at Mt. Rose,Winter Sports,Mt. Rose Highway,+1 (775) 849-0704,www.skirose.com,Guided and self-guided snowshoeing trails with stunning views,Winter,,
1/11/2026,Truckee River Whitewater Park,Water Sports,Downtown Reno,+1 (775) 334-2077,www.renoriver.org,Kayaking and rafting in urban whitewater park,Spring-Fall,,
1/11/2026,Wingfield Park,Outdoor Recreation,2 N Arlington Ave,+1 (775) 334-2262,www.reno.gov/parks,Walking trails and river access in downtown,Year-round,,
1/12/2026,Galena Creek Regional Park,Hiking,18350 Mt. Rose Hwy,+1 (775) 849-2511,www.washoecounty.gov/parks,Hiking trails through forest and meadows,Spring-Fall,,
1/12/2026,Rancho San Rafael Regional Park,Hiking,1595 N Sierra St,+1 (775) 785-4512,www.washoecounty.gov/parks,"580-acre park with trails, dog park, and arboretum",Year-round,,
1/13/2026,Mt. Rose Summit Trail,Hiking,Mt. Rose Highway,+1 (775) 882-2766,www.fs.usda.gov/htnf,Challenging 10-mile roundtrip to 10778 ft summit,Summer-Fall,,
1/13/2026,Steamboat Ditch Trail,Mountain Biking,Various Access Points,+1 (775) 828-6612,www.tahoefund.org,Popular mountain biking and hiking trail,Spring-Fall,,
1/14/2026,Pyramid Lake,Fishing & Swimming,30 miles north of Reno,+1 (775) 476-1155,www.pyramidlake.us,Desert lake for fishing and beach activities,Spring-Fall,,
1/14/2026,Davis Creek Regional Park,Hiking,25000 Franktown Rd,+1 (775) 849-2511,www.washoecounty.gov/parks,Trails through sagebrush and forest ecosystems,Spring-Fall,,
1/15/2026,Hunter Creek Trail,Hiking,Hunter Creek Trailhead,+1 (775) 882-2766,www.fs.usda.gov/htnf,Waterfall hikes and creek-side trails,Spring-Summer,,
1/15/2026,Thomas Creek Trail,Hiking,Mt. Rose Highway,+1 (775) 882-2766,www.fs.usda.gov/htnf,Moderate trail with wildflowers and mountain views,Summer-Fall,,
1/16/2026,Tahoe Rim Trail,Backpacking,Multiple Access Points,+1 (775) 298-0012,www.tahoerimtrail.org,165-mile trail circling Lake Tahoe,Summer-Fall,,
1/16/2026,Rock Climbing at Cave Rock,Rock Climbing,Lake Tahoe East Shore,+1 (775) 588-5562,www.fs.usda.gov/ltbmu,World-class granite climbing routes,Spring-Fall,,
1/17/2026,Bowers Mansion Regional Park,Picnicking & Swimming,4005 US-395,+1 (775) 849-1825,www.washoecounty.gov/parks,Historic mansion with pool and picnic areas,Summer,,
1/17/2026,Donner Lake,Water Sports,Truckee CA (near Reno),+1 (530) 587-3558,www.donnerlakevillage.com,Swimming, paddleboarding, kayaking,Summer
1/18/2026,Peavine Mountain,Mountain Biking,Northwest Reno,+1 (775) 828-6612,www.tahoefund.org,Extensive trail network for biking and hiking,Spring-Fall,,
1/18/2026,Oxbow Nature Study Area,Bird Watching,1075 Dickerson Rd,+1 (775) 785-4319,www.oxbownaturecenter.org,Nature preserve with trails and wildlife viewing,Year-round,,
1/19/2026,Sand Harbor State Park,Beach & Swimming,Lake Tahoe Nevada State Park,+1 (775) 831-0494,www.parks.nv.gov,Pristine beach with crystal clear water,Summer,,
1/19/2026,Spooner Lake,Cross-Country Skiing,Lake Tahoe Nevada State Park,+1 (775) 749-5349,www.spoonerlake.com,Cross-country skiing and snowshoeing,Winter,,
1/20/2026,Virginia Lake Park,Walking & Jogging,1980 Lakeside Dr,+1 (775) 334-2262,www.reno.gov/parks,Urban lake with paved walking path,Year-round,,
1/20/2026,Idlewild Park,Outdoor Recreation,1900 Idlewild Dr,+1 (775) 334-2262,www.reno.gov/parks,Park with rose garden and river access,Spring-Fall,,
1/21/2026,Whites Creek Trail,Hiking,Mt. Rose Highway,+1 (775) 882-2766,www.fs.usda.gov/htnf,Peaceful forest trail with creek crossings,Summer-Fall,,
1/21/2026,Eagle Valley Trail,Hiking,South of Reno,+1 (775) 882-2766,www.fs.usda.gov/htnf,Historic trail with valley views,Spring-Fall,,
1/22/2026,Keystone Canyon,Rock Climbing,Donner Pass,+1 (530) 587-3558,www.tahoeclimbing.com,Popular climbing area near Tahoe,Summer-Fall,,
1/22/2026,Prosser Creek Reservoir,Fishing,Truckee CA,+1 (530) 587-3558,www.recreation.gov,Fishing and camping reservoir,Spring-Fall,,
1/23/2026,Wild Island Family Adventure Park,Adventure Park,250 Wild Island Ct,+1 (775) 359-2927,www.wildisland.com,Water slides and adventure activities,Summer,,
1/23/2026,Lazy 5 Regional Park,Horseback Riding,6595 Pyramid Hwy,+1 (775) 424-9991,www.washoecounty.gov/parks,Equestrian trails and facilities,Year-round,,
1/24/2026,Tahoe Meadows,Wildflower Viewing,Mt. Rose Summit,+1 (775) 882-2766,www.fs.usda.gov/htnf,Alpine meadows with summer wildflowers,Summer,,
1/24/2026,Tahoe East Shore Trail,Biking,Lake Tahoe East Shore,+1 (775) 588-4591,www.tahoefund.org,Paved trail along Lake Tahoe shoreline,Spring-Fall,,
1/25/2026,Ski Resort Night Skiing,Night Skiing,Mt. Rose Ski Resort,+1 (775) 849-0704,www.skirose.com,Night skiing under the lights,Winter,,
1/25/2026,Hot Air Balloon Rides,Aerial Tours,Various Locations,+1 (775) 787-4668,www.renoballoon.com,Sunrise hot air balloon flights over Reno,Year-round,,
